 year, Birth_weight_lower_Bound_grams, Birth_weight_Upper_Bound_grams, Number, Per cent
2016,3000,3499,"37,290",37.8
2016,3500,3999,"29,171",29.5
2016,4000,4499,"8,348",8.5
2016,4500,9999999,"1,182",1.2
2016,-1,,71,0.1
2017,0,500,341,0.4
2017,500,999,455,0.5
2017,1000,1499,503,0.5
2017,1500,1999,"1,154",1.2
2017,2000,2499,"3,952",4.1
2017,2500,2999,"16,011",16.7
2017,3000,3499,"36,263",37.8
2017,3500,3999,"28,051",29.3
2017,4000,4499,"7,942",8.3
2017,4500,9999999,"1,106",1.2
2017,-1,,47,0
2018,0,500,234,0.2
2018,500,999,424,0.4
2018,1000,1499,488,0.5
2018,1500,1999,"1,224",1.3
2018,2000,2499,"4,163",4.4
2018,2500,2999,"15,945",16.7
2018,3000,3499,"36,575",38.3
2018,3500,3999,"27,577",28.9
2018,4000,4499,"7,671",8
2018,4500,9999999,"1,066",1.1
2018,-1,,185,0.2
